date,mean_demand,max_demand,min_demand
2019-01-01,27226.333333333332,33796,23206
2019-01-02,28819.458333333332,33031,24853
2019-01-03,30289.083333333332,35139,26093
2019-01-04,30001.833333333332,34882,25788
2019-01-05,29560.0,34316,25174
2019-01-06,28022.791666666668,33578,24197
2019-01-07,28817.541666666668,33087,24223
2019-01-08,28798.041666666668,31570,24599
2019-01-09,29315.458333333332,34032,24439
2019-01-10,28947.083333333332,34174,24584
2019-01-11,29412.5,33612,24476
2019-01-12,27963.041666666668,33356,24106
2019-01-13,25801.958333333332,31350,22184
2019-01-14,28691.666666666668,32865,22606
2019-01-15,30568.125,36205,24216
2019-01-16,29960.0,35786,24287
2019-01-17,29985.5,35110,24127
2019-01-18,27295.291666666668,33113,22095
2019-01-19,25816.083333333332,32136,22226
2019-01-20,24363.666666666668,29711,21916
2019-01-21,25570.958333333332,29270,21741
2019-01-22,27796.666666666668,32371,24081
2019-01-23,28572.416666666668,34646,25096
2019-01-24,28051.833333333332,33094,24213
2019-01-25,27982.208333333332,33178,23901
2019-01-26,25920.958333333332,32627,22361
2019-01-27,24219.041666666668,30145,20550
2019-01-28,26451.875,29964,22305
2019-01-29,29257.041666666668,34335,24649
2019-01-30,29230.791666666668,34383,24300
2019-01-31,29438.541666666668,34358,24069
2019-02-01,28939.791666666668,34639,24034
2019-02-02,28542.166666666668,33823,24001
2019-02-03,27206.416666666668,32061,23568
2019-02-04,28503.041666666668,31520,23740
2019-02-05,28679.083333333332,34693,22572
2019-02-06,28111.916666666668,32535,24813
2019-02-07,25470.458333333332,28207,21541
2019-02-08,29895.625,35863,26373
2019-02-09,27641.166666666668,33868,23470
2019-02-10,25269.25,31472,22265
2019-02-11,27010.25,31176,23403
2019-02-12,28241.791666666668,33140,24619
2019-02-13,28371.583333333332,33717,20132
2019-02-14,28720.958333333332,33043,19922
2019-02-15,27044.291666666668,32165,19531
2019-02-16,26920.625,31867,23352
2019-02-17,26275.083333333332,30932,24143
2019-02-18,27153.166666666668,31017,24887
2019-02-19,28335.0,33151,19544
2019-02-20,29152.541666666668,33949,17855
2019-02-21,30364.416666666668,34918,26503
2019-02-22,29722.083333333332,34919,26413
2019-02-23,28268.666666666668,35046,22060
2019-02-24,24996.208333333332,31548,19335
2019-02-25,26409.958333333332,30778,21161
2019-02-26,27156.958333333332,34128,22937
2019-02-27,24921.583333333332,28404,22117
2019-02-28,24704.0,27846,21863
2019-03-01,24376.875,27805,21472
2019-03-02,24026.291666666668,27283,21545
2019-03-03,22814.833333333332,26385,20980
2019-03-04,23788.833333333332,26051,21195
2019-03-05,25003.208333333332,27945,22193
2019-03-06,25455.5,28336,21882
2019-03-07,25106.25,28573,22101
2019-03-08,24887.375,28104,22348
2019-03-09,24233.0,28085,22284
2019-03-10,23397.625,26757,21625
2019-03-11,24918.583333333332,27084,21967
2019-03-12,24945.375,28430,22016
2019-03-13,24178.041666666668,27562,21817
2019-03-14,24397.25,27182,22123
2019-03-15,24028.791666666668,27173,21673
2019-03-16,23044.041666666668,26403,21358
2019-03-17,22378.625,26018,20854
2019-03-18,23989.583333333332,26425,21039
2019-03-19,24773.166666666668,29010,20640
2019-03-20,24966.916666666668,28341,20504
2019-03-21,25013.25,28085,20962
2019-03-22,25105.5,28530,21595
2019-03-23,23546.333333333332,28438,21119
2019-03-24,22503.333333333332,26740,20276
2019-03-25,24931.791666666668,27628,21057
2019-03-26,25651.958333333332,30071,21416
2019-03-27,26224.041666666668,29517,22546
2019-03-28,26640.833333333332,29708,24052
2019-03-29,26505.708333333332,29507,23980
2019-03-30,25670.125,28876,23412
2019-03-31,24096.166666666668,29142,21782
2019-04-01,26103.708333333332,29567,22524
2019-04-02,27899.0,32688,23249
2019-04-03,27746.833333333332,32009,23099
2019-04-04,27719.083333333332,31787,23490
2019-04-05,26554.25,29816,22206
2019-04-06,25298.5,28860,22396
2019-04-07,23804.666666666668,26567,21143
2019-04-08,26174.375,30958,21412
2019-04-09,27629.208333333332,33205,22333
2019-04-10,26098.416666666668,29426,17654
2019-04-11,26041.75,29690,17617
2019-04-12,26599.041666666668,32054,22866
2019-04-13,23278.625,26638,20117
2019-04-14,23014.0,26454,19385
2019-04-15,26143.625,30430,21729
2019-04-16,26523.958333333332,32311,18034
2019-04-17,27380.875,32165,23282
2019-04-18,28343.583333333332,33101,23681
2019-04-19,29416.916666666668,36527,23676
2019-04-20,27402.875,35008,23887
2019-04-21,24768.708333333332,30811,21434
2019-04-22,25921.5,29091,22538
2019-04-23,28762.5,33893,23256
2019-04-24,30385.166666666668,36147,24018
2019-04-25,31255.833333333332,37822,24576
2019-04-26,30669.208333333332,37349,24474
2019-04-27,28426.833333333332,35445,23816
2019-04-28,25948.0,31847,22476
2019-04-29,27522.416666666668,31707,22767
2019-04-30,28146.875,32822,23121
2019-05-01,27709.166666666668,32619,23313
2019-05-02,28279.291666666668,33522,23837
2019-05-03,28560.875,33837,23842
2019-05-04,27079.0,33551,23788
2019-05-05,25014.416666666668,31496,22080
2019-05-06,27115.0,30644,22909
2019-05-07,28341.791666666668,32898,23568
2019-05-08,28462.958333333332,33164,19716
2019-05-09,28350.25,33874,19438
2019-05-10,27729.041666666668,33420,19686
2019-05-11,26908.75,32417,23273
2019-05-12,25919.833333333332,31738,23214
2019-05-13,28457.458333333332,32090,23680
2019-05-14,29541.541666666668,34474,24126
2019-05-15,29636.666666666668,34333,23933
2019-05-16,28698.5,33162,23834
2019-05-17,27869.166666666668,31939,24479
2019-05-18,26492.541666666668,31231,23270
2019-05-19,25447.125,30090,22605
2019-05-20,26305.625,29631,22878
2019-05-21,27339.958333333332,31630,23416
2019-05-22,27419.625,31898,23509
2019-05-23,27985.625,31825,23449
2019-05-24,27432.416666666668,32020,23527
2019-05-25,25679.25,31653,22828
2019-05-26,24421.208333333332,29376,21929
2019-05-27,23967.208333333332,28060,21862
2019-05-28,26203.791666666668,29455,22502
2019-05-29,28161.875,32817,23427
2019-05-30,29143.083333333332,34467,24038
2019-05-31,29538.166666666668,34519,24533
2019-06-01,28462.041666666668,34282,24356
2019-06-02,27116.958333333332,32787,23309
2019-06-03,29085.458333333332,33255,23849
2019-06-04,31919.625,37511,25349
2019-06-05,34176.125,40521,26576
2019-06-06,33528.291666666664,42239,26686
2019-06-07,30910.291666666668,36879,25209
2019-06-08,29018.458333333332,34431,25073
2019-06-09,29312.0,35097,24304
2019-06-10,35748.083333333336,49135,26454
2019-06-11,40507.375,52021,28882
2019-06-12,40840.958333333336,53322,30107
2019-06-13,36828.041666666664,49493,28262
2019-06-14,33305.166666666664,40768,27130
2019-06-15,30230.125,37375,25699
2019-06-16,28386.416666666668,34415,24386
2019-06-17,30866.583333333332,36193,25247
2019-06-18,33562.916666666664,39117,26544
2019-06-19,34372.291666666664,41659,26793
2019-06-20,33741.541666666664,41821,26711
2019-06-21,31276.083333333332,37013,25514
2019-06-22,29363.208333333332,35471,24798
2019-06-23,29878.625,36373,24540
2019-06-24,33069.458333333336,39236,25922
2019-06-25,33178.791666666664,41284,25910
2019-06-26,31732.833333333332,37538,25824
2019-06-27,31134.083333333332,36199,25549
2019-06-28,31419.708333333332,36627,25603
2019-06-29,30481.166666666668,37663,24976
2019-06-30,29643.208333333332,35665,24515
2019-07-01,32464.416666666668,39669,25049
2019-07-02,34030.458333333336,42074,26689
2019-07-03,33602.958333333336,41396,26713
2019-07-04,30873.291666666668,39737,25688
2019-07-05,31102.666666666668,37346,25665
2019-07-06,31945.416666666668,40910,25831
2019-07-07,30133.083333333332,38583,24969
2019-07-08,30978.375,35636,25060
2019-07-09,32136.25,37389,25757
2019-07-10,34078.75,40724,26763
2019-07-11,36028.125,44078,27687
2019-07-12,37327.583333333336,46499,28411
2019-07-13,36618.166666666664,48150,27978
2019-07-14,34953.75,45959,26575
2019-07-15,37032.625,47196,27605
2019-07-16,38487.958333333336,49569,28724
2019-07-17,37315.25,47742,28339
2019-07-18,37094.291666666664,46443,28286
2019-07-19,35706.0,45552,27688
2019-07-20,33066.375,42456,26538
2019-07-21,32177.291666666668,39836,26017
2019-07-22,36642.041666666664,47898,27607
2019-07-23,40596.958333333336,50983,30128
2019-07-24,41680.875,53132,30159
2019-07-25,42145.5,54125,31369
2019-07-26,41600.708333333336,52560,30823
2019-07-27,39887.75,52704,29724
2019-07-28,39080.916666666664,51914,28635
2019-07-29,38966.75,49517,29025
2019-07-30,38189.166666666664,49501,28914
2019-07-31,37332.333333333336,46844,28800
2019-08-01,37807.541666666664,47030,29112
2019-08-02,37975.666666666664,48232,28830
2019-08-03,37171.0,49313,28222
2019-08-04,35917.833333333336,47332,27141
2019-08-05,37970.125,48860,27976
2019-08-06,39682.916666666664,50894,29245
2019-08-07,39110.333333333336,51788,29284
2019-08-08,36877.708333333336,47629,28095
2019-08-09,35288.291666666664,44369,27278
2019-08-10,33576.5,43380,26845
2019-08-11,31558.083333333332,39744,25819
2019-08-12,34739.916666666664,45071,26264
2019-08-13,37740.708333333336,48156,27737
2019-08-14,39664.041666666664,52140,28654
2019-08-15,41347.708333333336,54735,29414
2019-08-16,41089.75,55067,29750
2019-08-17,36331.083333333336,51122,27976
2019-08-18,31890.625,41592,26009
2019-08-19,33864.791666666664,41642,26153
2019-08-20,35724.708333333336,44569,27029
2019-08-21,36890.166666666664,47534,27311
2019-08-22,38868.958333333336,50395,28790
2019-08-23,38159.625,49646,28485
2019-08-24,36921.75,48285,28093
2019-08-25,36613.208333333336,47662,27852
2019-08-26,39951.208333333336,52627,28899
2019-08-27,41593.208333333336,54576,30161
2019-08-28,40532.291666666664,53889,29997
2019-08-29,39381.333333333336,49963,29293
2019-08-30,39757.375,51196,29501
2019-08-31,37728.166666666664,51380,28263
2019-09-01,36625.041666666664,48903,27696
2019-09-02,37294.208333333336,48168,27946
2019-09-03,40501.25,52731,29508
2019-09-04,42411.166666666664,54647,30567
2019-09-05,42343.5,54679,31136
2019-09-06,41019.75,52468,30317
2019-09-07,37855.583333333336,51740,28843
2019-09-08,32380.5,42950,26402
2019-09-09,33336.5,39907,26412
2019-09-10,34217.666666666664,42143,27133
2019-09-11,33347.458333333336,39113,26374
2019-09-12,35241.333333333336,45722,26729
2019-09-13,38430.208333333336,51155,27906
2019-09-14,38086.458333333336,52651,27787
2019-09-15,35405.375,49717,27114
2019-09-16,34741.791666666664,41613,27035
2019-09-17,33680.208333333336,40726,26756
2019-09-18,33732.0,40372,26385
2019-09-19,33113.625,39513,26289
2019-09-20,32463.208333333332,37378,26064
2019-09-21,31621.041666666668,38648,25988
2019-09-22,31269.25,39440,25170
2019-09-23,34134.541666666664,41146,26446
2019-09-24,35775.083333333336,45013,27033
2019-09-25,38054.875,47888,27642
2019-09-26,37638.166666666664,48961,28403
2019-09-27,34332.25,41633,27183
2019-09-28,29996.416666666668,36836,25382
2019-09-29,26637.708333333332,32424,23887
2019-09-30,27934.583333333332,31879,23524
2019-10-01,28920.75,34217,24038
2019-10-02,29056.041666666668,34305,24081
2019-10-03,29774.166666666668,35262,24279
2019-10-04,29419.291666666668,34917,24017
2019-10-05,27764.166666666668,33971,23759
2019-10-06,26870.333333333332,33091,22797
2019-10-07,30189.583333333332,36991,23662
2019-10-08,31578.291666666668,39441,24606
2019-10-09,30432.125,38050,23944
2019-10-10,28898.666666666668,34296,23675
2019-10-11,29250.916666666668,34456,23769
2019-10-12,27749.041666666668,34387,23584
2019-10-13,26142.291666666668,32266,22704
2019-10-14,27591.166666666668,31812,22469
2019-10-15,29111.208333333332,33889,23649
2019-10-16,30570.875,36032,24080
2019-10-17,29894.208333333332,36395,23950
2019-10-18,29044.791666666668,34069,23824
2019-10-19,27329.333333333332,33207,23332
2019-10-20,26044.708333333332,31454,22751
2019-10-21,29373.666666666668,36100,23220
2019-10-22,31859.875,38805,24555
2019-10-23,32261.291666666668,39973,24724
2019-10-24,32505.375,39285,25004
2019-10-25,32886.833333333336,40624,25089
2019-10-26,29827.458333333332,40049,23931
2019-10-27,25762.416666666668,33860,22094
2019-10-28,26324.125,29489,21675
2019-10-29,27916.541666666668,33102,22844
2019-10-30,28029.75,32836,23684
2019-10-31,28389.416666666668,32979,23669
2019-11-01,28442.666666666668,32246,23828
2019-11-02,27021.416666666668,32920,23441
2019-11-03,25517.25,30697,22729
2019-11-04,27586.958333333332,31317,22592
2019-11-05,29094.875,34894,23632
2019-11-06,29400.583333333332,35132,23797
2019-11-07,29529.791666666668,34976,23914
2019-11-08,29695.708333333332,35283,23869
2019-11-09,28458.291666666668,35512,23683
2019-11-10,26532.958333333332,32864,23067
2019-11-11,27454.583333333332,31463,23064
2019-11-12,28862.375,34527,23292
2019-11-13,28876.333333333332,34592,23566
2019-11-14,28622.041666666668,34027,23498
2019-11-15,28603.625,33998,24001
2019-11-16,27018.708333333332,33230,23320
2019-11-17,26184.458333333332,31318,22941
2019-11-18,28628.583333333332,33606,23073
2019-11-19,29721.5,36206,23547
2019-11-20,29297.583333333332,34931,23533
2019-11-21,29010.583333333332,34373,23936
2019-11-22,29013.25,34121,24498
2019-11-23,27427.208333333332,33867,23802
2019-11-24,26276.166666666668,31376,23694
2019-11-25,27685.958333333332,31206,23401
2019-11-26,29334.083333333332,34268,24290
2019-11-27,30018.875,35174,24349
2019-11-28,29189.208333333332,34863,24533
2019-11-29,27086.166666666668,30428,24259
2019-11-30,28174.666666666668,32631,24656
2019-12-01,27719.458333333332,32989,24020
2019-12-02,29095.916666666668,33017,24249
2019-12-03,30318.041666666668,35345,24503
2019-12-04,30802.333333333332,35428,24394
2019-12-05,30041.291666666668,35731,24561
2019-12-06,29789.666666666668,35184,24367
2019-12-07,28922.0,34843,24313
2019-12-08,27244.208333333332,32767,23492
2019-12-09,28790.083333333332,32902,24033
2019-12-10,30283.916666666668,35563,25220
2019-12-11,30656.0,35791,25191
2019-12-12,30038.625,35830,24874
2019-12-13,29844.708333333332,35300,24376
2019-12-14,28518.708333333332,35100,24258
2019-12-15,27147.333333333332,32633,24358
2019-12-16,29562.916666666668,33786,25220
2019-12-17,31353.833333333332,37027,26170
2019-12-18,31672.041666666668,36954,26074
2019-12-19,31282.041666666668,36979,26654
2019-12-20,27329.666666666668,36126,5719
2019-12-21,30364.208333333332,35172,25144
2019-12-22,29321.791666666668,33370,24250
2019-12-23,29886.625,33296,24637
2019-12-24,29823.708333333332,35634,25429
2019-12-25,27543.583333333332,33125,24441
2019-12-26,28662.333333333332,31134,24714
2019-12-27,29951.875,35796,26131
2019-12-28,28598.041666666668,34747,25040
2019-12-29,27750.125,33078,24620
2019-12-30,28856.416666666668,33337,24184
2019-12-31,28952.666666666668,34943,24695
2020-01-01,26707.708333333332,32928,23376
2020-01-02,27314.208333333332,30649,23332
2020-01-03,28569.458333333332,33826,24084
2020-01-04,27316.875,33285,23878
2020-01-05,26230.625,31368,23601
2020-01-06,27902.875,31867,23562
2020-01-07,28993.208333333332,33956,24017
2020-01-08,29167.875,34308,23940
2020-01-09,29287.083333333332,34027,24046
2020-01-10,29264.333333333332,34526,25049
2020-01-11,27441.125,33518,23915
2020-01-12,26370.458333333332,31334,23752
2020-01-13,28041.416666666668,31946,23781
2020-01-14,29067.708333333332,34489,24232
2020-01-15,29468.5,34560,24789
2020-01-16,30269.791666666668,34916,25057
2020-01-17,30146.625,35846,25236
2020-01-18,28321.916666666668,34331,24890
2020-01-19,27032.416666666668,31817,24203
2020-01-20,28646.458333333332,31743,23572
2020-01-21,29686.625,34811,24104
2020-01-22,29286.25,34763,24250
2020-01-23,29208.5,33884,24758
2020-01-24,28837.166666666668,33875,24162
