iter	RMSE
0	4793.997895
1	4472.252406
2	4172.23462933	3889.61344344	3632.75628155	3397.10380366	3171.43607	27	2965.76798	8	2774.939089	9	2598.637181010	2437.487111111	2293.094891212	2154.697751313	2028.112521414	1912.203015	15	1804.858316	16	1709.620917	17	1619.997218	18	1537.476419	19	1464.125320	20	1399.522221	21	1335.626222	22	1278.621923	23	1227.88024	124	1180.74325	125	1136.93526	126	1099.55827	127	1064.24728	128	1032.32329	129	1003.37030	930	979.269831	31	955.6573432	32	933.8934033	33	914.9511934	34	897.812135	835	881.378936	836	866.861937	37	853.255123838	841.7783053939	831.3729064040	822.6251941	41	813.8576442	42	806.0452043	43	797.857744	744	790.282645	745	783.927346	746	777.526547	747	772.194348	748	766.731149	749	761.697450	750	757.0051	75451	752.5852	75052	748.1353	74653	744.2754	742.6762984
55	739.0500718
56	735.9282781
57	732.6850286
58	729.5444667
59	726.6903496
60	723.8370043
61	720.5637133
62	717.378646
63	714.7209055
64	712.6546152
65	710.1287211
66	708.0536939
67	705.5025253
68	702.9500673
69	700.6527876
70	699.0747102
71	697.393824
72	695.4345466
73	692.928904
74	691.1572511
75	689.3382253
76	687.4386476
77	686.2410597
78	684.5666316
79	683.0653194
80	681.7899185
81	679.9381236
82	678.4878837
83	677.238144
84	675.6788965
85	673.9660645
86	672.5217777
87	671.3978034
88	670.1097691
89	668.5661128
90	667.1185685
91	666.1122358
92	664.8574687
93	663.7616122
94	662.7275527
95	662.1858716
96	661.1675376
97	659.699066
98	659.0812677
99	657.836787
100	656.1563498
101	654.9324237
102	653.7124768
103	652.2744135
104	651.2615391
105	649.6463141
106	648.1318849
107	647.1831381
108	646.1167312
109	645.0182101
110	644.1167534
111	643.0269434
112	642.4131319
113	641.4373738
114	640.5266479
115	639.7086403
116	638.3222219
117	637.0470794
118	636.2118098
119	634.9232764
120	634.04926
121	632.8858445
122	632.0584752
123	631.0967055
124	630.3303368
125	629.3698203
126	628.3185879
127	627.0027779
128	626.0928153
129	625.6115143
130	624.5904168
131	623.4578861
132	622.5094739
133	621.8937991
134	621.4574717
135	620.2286948
136	619.5791084
137	618137	617.6138	617138	616.9139	616.5740908
140	615.995674
141	615.2240652
142	614.4652881
143	613.5278119
144	612.5739635
145	611.7402699
146	610.8828626
147	609.7824419
148	608.7310488
149	608.1443384
150	607.2626853
151	606.6673225
152	606.0130475
153	605.0912709
154	604.4042457
155	603.4549969
156	602.7032204
157	601.7304964
158	600.9313298
159	600.2293627
160	599.3449478
161	598.7409378
162	598.0935919
163	597.3998606
164	596.6587489
165	596.0154219
166	595.1878766
167	594.3726151
168	593.804733
169	592.7589456
170	592.2109473
171	591.7427112
172	591.1330309
173	590.5893417
174	590.1530119
175	589.2415345
176	588.3371508
177	587.7903892
178	587.0702913
179	586.4945039
180	585.721877
181	584.9841773
182	584.2662443
183	583.4239615
184	582.770989
185	582.1348059
186	581.5824958
187	580.8908819
188	580.4718615
189	580.0211366
190	579.3884069
191	578.6502657
192	578.057745
193	577.6310669
194	577.0647973
195	576.4533153
196	575.8587822
197	575.5435705
198	574.8767284
199	574.142098
200	573.629331
201	573.010712
202	572.4128559
203	571.9461339
204	571.6296672
205	571.2411446
206	570.7516045
207	570.1539473
208	569.7475807
209	569.2991946
210	568.7788161
211	568.4823751
212	568.0225956
213	567.5693901
214	567.213431
215	566.7815865
216	566.2758896
217	565.7827654
218	565.4714248
219	565.00929
220	564.4260815
221	563.9678104
222	563.57957
223	562.9609729
224	562.5461864
225	562.0270698
226	561.7214405
227	561.2130172
228	560.8199846
229	560.3287184
230	559.668452
231	559.0041693
232	558.2952991
233	557.9552176
234	557.5784902
235	557.137901
236	556.7686374
237	556.3311642
238	555.9646781
239	555.3613688
240	554.5653264
241	554.0888726
242	553.770142
243	553.3987084
244	553.0194222
245	552.6470811
246	552.1822408
247	551.7897814
248	551.3981502
249	551.0814992
250	550.462571
251	550.0039737
252	549.6268357
253	549.1280702
254	548.5844548
255	548.2406248
256	547.7732527
257	547.363548
258	546.8196203
259	546.4323849
260	546.1454592
261	545.6960178
262	545.3811717
263	544.9797772
264	544.7085635
265	544.3933256
266	544.0191578
267	543.4221217
268	543.0681032
269	542.6496526
270	542.1013138
271	541.7281899
272	541.3729129
273	541.0966673
274	540.4360642
275	539.9758758
276	539.5844845
277	539.2416259
278	538.8170004
279	538.3608573
280	538.0342592
281	537.6256843
282	537.3702785
283	536.995886
284	536.682738
285	536.2880754
286	535.9612878
287	535.7157591
288	535.3636746
289	535.0386295
290	534.6900421
291	534.4209473
292	534.0099192
293	533.6728302
294	533.3885921
295	533.1147423
296	532.7808447
297	532.418017
298	532.0023922
299	531.6792261
300	531.2881811
301	531.0410558
302	530.7192353
303	530.4534833
304	530.1632581
305	529.9327282
306	529.5464393
307	529.2780493
308	528.7338293
309	528.4641572
310	528.1564212
311	527.9208243
312	527.4660258
313	527.1316905
314	526.8579
315	526.6109813
316	526.1177589
317	525.7075408
318	525.5162441
319	525.2560257
320	525.0103144
321	524.541179
322	524.2780478
323	523.998471
324	523.7104401
325	523.4885933
326	523.2556701
327	522.88497
328	522.6371407
329	522.2244056
330	521.9233051
331	521.6220759
332	521.3952791
333	521.1215644
334	520.8049184
335	520.391369
336	519.9185661
337	519.5715396
338	519.2417293
339	518.9832808
340	518.6646702
341	518.3992408
342	518.1188131
343	517.990424
344	517.685303
345	517.5021778
346	517.1317651
347	516.8139647
348	516.4926111
349	516.1961122
350	515.8625741
351	515.6581255
352	515.3907513
353	515.0675415
354	514.751786
355	514.398245
356	514.1450129
357	513.8101964
358	513.6062627
359	513.3646238
360	513.1433878
361	512.9640435
362	512.6012806
363	512.3750732
364	512.0688359
365	511.7171866
366	511.5085905
367	511.1611418
368	510.8167263
369	510.6433755
370	510.3240318
371	509.8932399
372	509.4537388
373	509.2334291
374	508.7921747
375	508.5541459
376	508.2369635
377	508.0109679
378	507.8354467
379	507.6535827
380	507.5072688
381	507.1960985
382	506.9022298
383	506.6502554
384	506.5026443
385	506.3039702
386	506.1690748
387	505.853295
388	505.7077152
389	505.5047418
390	505.1071608
391	504.9524583
392	504.7566696
393	504.5626604
394	504.3778306
395	504.1661405
396	503.9120928
397	503.7372351
398	503.4886217
399	503.2774605
400	503.0952648
401	502.8885042
402	502.7028282
403	502.4262769
404	502.1920425
405	502.0097585
406	501.6793862
407	501.4242659
408	501.3006608
409	501.0635443
410	500.6750693
411	500.452982
412	500.2396972
413	499.9881578
414	499.7602064
415	499.5897631
416	499.4239955
417	499.048284
418	498.8446163
419	498.6270813
420	498.3993264
421	498.2182006
422	498.0491383
423	497.8306783
424	497.6702944
425	497.4843997
426	497.1972422
427	496.9699008
428	496.6678345
429	496.4926354
430	496.0380795
431	495.6654547
432	495.446847
433	495.21584
434	494.9724767
435	494.815802
436	494.6099251
437	494.1970841
438	493.7825761
439	493.509534
440	493.3003229
441	493.0804764
442	492.8638681
443	492.6751855
444	492.4050112
445	492.105846
446	491.9225898
447	491.6725009
448	491.4850595
449	491.2092222
450	490.7336635
451	490.4243787
452	490.1337941
453	489.8565037
454	489.5164292
455	489.2866753
456	489.125502
457	488.8163921
458	488.5632836
459	488.3667667
460	488.2071747
461	487.9869112
462	487.8092391
463	487.5963952
464	487.3029007
465	487.1244214
466	486.9576432
467	486.7561413
468	486.4856375
469	486.3337039
470	486.0764374
471	485.8525758
472	485.5539342
473	485.410442
474	485.2214011
475	484.848914
476	484.6839609
477	484.4726605
478	484.2615553
479	484.0489811
480	483.7986405
481	483.6309377
482	483.39438
483	483.2042216
484	483.0935997
485	482.9200106
486	482.7522453
487	482.5334691
488	482.3638886
489	482.1813696
490	481.9426286
491	481.7709806
492	481.5869214
493	481.351069
494	481.2056607
495	481.0283093
496	480.8680641
497	480.6794342
498	480.5408546
499	480.3622112
500	480.1842585
501	479.9957383
502	479.7351227
503	479.6438106
504	479.4632206
505	479.2554514
506	479.0915158
507	478.85381
508	478.6719107
