iter	Passed	Remaining
0	171	171818
1	206	103187
2	232	77432
3	248	61930
4	259	51626
5	271	44896
6	283	40195
7	294	36573
8	306	33718
9	317	31440
10	328	29516
11	339	27933
12	351	26717
13	363	25599
14	374	24610
15	389	23978
16	405	23421
17	416	22703
18	427	22086
19	438	21487
20	450	20981
21	461	20535
22	473	20127
23	484	19696
24	496	19368
25	508	19060
26	519	18735
27	531	18466
28	546	18288
29	562	18195
30	575	17991
31	589	17824
32	602	17669
33	615	17484
34	626	17268
35	636	17046
36	647	16851
37	658	16680
38	670	16509
39	681	16363
40	693	16227
41	706	16106
42	721	16060
43	732	15923
44	743	15774
45	754	15655
46	766	15540
47	777	15425
48	788	15308
49	800	15217
50	812	15110
51	823	15016
52	835	14920
53	845	14820
54	866	14896
55	881	14854
56	892	14769
57	905	14701
58	916	14620
59	929	14558
60	941	14499
61	953	14431
62	966	14376
63	978	14313
64	989	14234
65	1001	14176
66	1016	14151
67	1027	14088
68	1040	14038
69	1052	13987
70	1063	13920
71	1075	13856
72	1085	13783
73	1097	13729
74	1108	13670
75	1119	13614
76	1131	13562
77	1142	13504
78	1153	13447
79	1165	13405
80	1175	13332
81	1185	13275
82	1197	13228
83	1210	13197
84	1224	13178
85	1235	13127
86	1246	13078
87	1256	13019
88	1267	12973
89	1277	12920
90	1288	12874
91	1300	12835
92	1311	12789393	1322	12749494	1333	12709595	1343	12659696	1354	12609797	1364	12559898	1374	12519999	1386	124810100	1399	124510101	1412	124310102	1426	124210103	1438	123810104	1449	123510105	1460	123110106	1472	122910107	1482	122410108	1494	122110109	1505	121811110	1518	121611111	1532	121511112	1545	121311113	1556	120911114	1570	120811115	1583	120611116	1594	120311117	1608	120211118	1618	119811119	1635	119912120	1649	119712121	1661	119512122	1673	119312123	1686	119112124	1698	118912125	1712	118712126	1724	118512127	1738	118412128	1749	118112129	1760	117713130	1771	117413131	1786	117513132	1801	117413133	1812	117113134	1824	116813135	1834	1165136	1835	11559
137	1846	11535
138	1857	11507
13139	1879	115414140	1891	115214141	1903	114914142	1915	114814143	1927	114614144	1942	114514145	1954	114314146	1966	114114147	1978	113814148	1990	113614149	2002	113415150	2014	113215151	2025	112915152	2037	112715153	2049	112615154	2062	112415155	2075	112315156	2090	112215157	2104	112115158	2115	111815159	2126	11164
160	2139	11150
161	2151	11127
162	2163	11110
163	2175	11088
164	2187	11068
165	2198	11044
166	2210	11024
167	2221	11004
168	2232	10979
169	2244	10958
170	2258	10948
171	2268	10920
172	2279	10898
173	2291	10877
174	2301	10849
175	2313	10832
176	2325	10810
177	2336	10790
178	2347	10765
179	2358	10746
180	2371	10731
181	2382	10707
182	2394	10691
183	2406	10674
184	2419	10658
185	2431	10639
186	2442	10619
187	2457	10614
188	2468	10592
189	2479	10572
190	2490	10550
191	2501	10528
192	2512	10507
193	2523	10482
194	2533	10458
195	2543	10435
196	2556	10420
197	2567	10398
198	2578	10379
199	2591	10367
200	2605	10356
201	2619	10346
202	2630	10329
203	2642	10310
204	2652	10287
205	2662	10262
206	2674	10244
207	2685	10224
208	2696	10205
209	2709	10193
210	2723	10184
211	2735	10169
212	2749	10157
213	2760	10138
214	2773	10126
215	2786	10113
216	2798	10097
217	2810	10080
218	2821	10063
219	2832	10040
220	2844	10025
221	2855	10007
222	2866	9989
223	2879	9976
224	2891	9959
225	2903	9942
226	2913	9922
227	2929	9920
228	2940	9900
229	2952	9884
230	2965	9872
231	2976	9854
232	2988	9837
233	3000	9821
234	3011	9803
235	3022	9784
236	3034	9768
237	3046	9753
238	3058	9737
239	3069	9719
240	3083	9710
241	3095	9696
242	3107	9680
243	3118	9661
244	3127	9638
245	3139	9622
246	3150	9604
247	3162	9588
248	3173	9571
249	3184	9553
250	3199	9547
251	3210	9530
252	3220	9509
253	3235	9502
254	3248	9491
255	3259	9473
256	3271	9458
257	3284	9445
258	3295	9429
259	3307	9413
260	3317	9394
261	3329	9378
262	3340	9360
263	3351	9344
264	3362	9327
265	3374	9310
266	3389	9304
267	3401	9289
268	3412	9272
269	3422	9254
270	3434	9238
271	3445	9222
272	3457	9206
273	3468	9189
274	3480	9175
275	3492	9160
276	3502	9143
277	3514	9127
278	3526	9113
279	3538	9098
280	3549	9082
281	3560	9065
282	3571	9047
283	3585	9038
284	3599	9029
285	3610	9012
286	3621	8996
287	3631	8978
288	3644	8965
289	3656	8951
290	3667	8936
291	3678	8919
292	3690	8905
293	3701	8889
294	3712	8873
295	3725	8861
296	3737	8846
297	3752	8839
298	3764	8825
299	3777	8814
300	3790	8802
301	3803	8790
302	3814	8775
303	3826	8761
304	3839	8749
305	3851	8734
306	3863	8721
307	3875	8708
308	3895	8710
309	3906	8695
310	3917	8679
311	3929	8664
312	3942	8653
313	3954	8638
314	3966	8625
315	3977	8609
316	3989	8595
317	4001	8581
318	4013	8567
319	4023	8550
320	4035	8535
321	4051	8529
322	4061	8512
323	4072	8496
324	4083	8481
325	4094	8465
326	4105	8449
327	4116	8434
328	4128	8419
329	4140	8405
330	4151	8389
331	4162	8375
332	4173	8359
333	4183	8342
334	4194	8327
335	4206	8312
336	4219	8300
337	4230	8284
338	4244	8276
339	4257	8264
340	4268	8250
341	4279	8233
342	4290	8217
343	4301	8203
344	4313	8189
345	4323	8173
346	4335	8158
347	4347	8144
348	4359	8130
349	4369	8114
350	4381	8102
351	4400	8101
352	4413	8090
353	4426	8078
354	4438	8064
355	4449	8049
356	4459	8032
357	4472	8019
358	4482	8003
359	4493	7989
360	4504	7973
361	4515	7957
362	4527	7944
363	4537	7928
364	4552	7919
365	4564	7906
366	4574	7890
367	4586	7877
368	4599	7865
369	4610	7851
370	4622	7836
371	4634	7823
372	4646	7810
373	4658	7797
374	4671	7785
375	4683	7772
376	4701	7768
377	4713	7756
378	4727	7746
379	4743	7739
380	4755	7726
381	4771	7719
382	4784	7708
383	4801	7702
384	4814	7690
385	4828	7680
386	4843	7672
387	4863	7671
388	4877	7660
389	4892	7651
390	4906	7641
391	4919	7630
392	4933	7619
393	4947	7609
394	4961	7599
395	4976	7590
396	4991	7581
397	5008	7575
398	5028	7573
399	5044	7566
400	5060	7558
401	5075	7549
402	5089	7539
403	5105	7532
404	5122	7525
405	5137	7516
406	5154	7509
407	5170	7502
408	5186	7494
409	5208	7495
410	5227	7490
411	5242	7481
412	5258	7473
413	5273	7464
414	5289	7455
415	5304	7446
416	5319	7437
417	5335	7428
418	5349	7418
419	5367	7411
420	5388	7410
421	5402	7400
422	5418	7391
423	5433	7381
424	5448	7371
425	5463	7361
426	5478	7351
427	5493	7341
428	5508	7331
429	5524	7322
430	5545	7321
431	5561	7312
432	5575	7301
433	5590	7291
434	5606	7282
435	5622	7272
436	5638	7263
437	5654	7254
438	5668	7244
439	5686	7237
440	5704	7230
441	5721	7222
442	5734	7210
443	5749	7200
444	5765	7190
445	5783	7183
446	5800	7176
447	5817	7167
448	5832	7158
449	5849	7149
450	5870	7146
451	5892	7143
452	5910	7137
453	5926	7127
454	5943	7119
455	5961	7111
456	5980	7105
457	5997	7097
458	6015	7090
459	6034	7084
460	6053	7077
461	6068	7067
462	6083	7055
463	6099	7045
464	6116	7037
465	6132	7027
466	6150	7019
467	6167	7010
468	6183	7001
469	6202	6994
470	6224	6990
471	6243	6984
472	6260	6974
473	6275	6964
474	6291	6953
475	6307	6944
476	6323	6932
477	6340	6924
478	6357	6914
479	6376	6907
480	6395	6900
481	6413	6892
482	6431	6883
483	6448	6874
484	6463	6863
485	6479	6852
486	6494	6841
487	6510	6830
488	6525	6819
489	6548	6815
490	6563	6804
491	6580	6794
492	6595	6783
493	6610	6771
494	6626	6760
495	6640	6748
496	6656	6737
497	6671	6724
498	6690	6716
499	6706	6706
500	6722	6695
501	6737	6683
502	6752	6672
503	6768	6660
504	6783	6649
505	6801	6640
506	6818	6629
507	6835	6620
508	6855	6613
509	6870	6601
510	6885	6589
511	6902	6578
512	6917	6566
513	6933	6555
514	6947	6542
515	6962	6530
516	6978	6519
517	6997	6510
518	7016	6502
519	7031	6491
520	7046	6478
521	7064	6468
522	7080	6457
523	7096	6446
524	7112	6435
525	7130	6425
526	7148	6415
527	7169	6409
528	7184	6396
529	7199	6384
530	7213	6371
531	7227	6358
532	7243	6346
533	7259	6335
534	7274	6322
535	7290	6311
536	7306	6299
537	7326	6291
538	7342	6279
539	7357	6267
540	7372	6255
541	7386	6241
542	7402	6230
543	7417	6217
544	7432	6204
545	7446	6191
546	7460	6178
547	7476	6166
548	7491	6154
549	7506	6141
550	7524	6131
551	7540	6120
552	7557	6109
553	7572	6096
554	7586	6083
555	7600	6069
556	7616	6057
557	7629	6043
558	7643	6029
559	7659	6017
560	7674	6005
561	7688	5992
562	7708	5983
563	7724	5971
564	7738	5957
565	7754	5946
566	7772	5935
567	7788	5923
568	7805	5912
569	7818	5898
570	7835	5887
571	7857	5879
572	7874	5867
573	7890	5855
574	7908	5845
575	7923	5832
576	7937	5819
577	7951	5805
578	7967	5793
579	7978	5777
580	7992	5764
581	8012	5754
582	8027	5742
583	8043	5729
584	8059	5717
585	8075	5705
586	8090	5692
587	8106	5680
588	8124	5669
589	8141	5657
590	8155	5643
591	8172	5632
592	8190	5621
593	8211	5612
594	8228	5600
595	8246	5590
596	8265	5579
597	8283	5568
598	8299	5556
599	8315	5543
600	8334	5533
601	8351	5521
602	8375	5514
603	8393	5502
604	8409	5490
605	8422	5475
606	8438	5463
607	8456	5452
608	8475	5441
609	8491	5428
610	8511	5419
611	8529	5407
612	8547	5396
613	8561	5382
614	8576	5369
615	8592	5356
616	8609	5344
617	8626	5332
618	8640	5318
619	8654	5304
620	8669	5291
621	8685	5278
622	8704	5267
623	8721	5255
624	8737	5242
625	8753	5229
626	8767	5215
627	8782	5202
628	8800	5190
629	8817	5178
630	8834	5166
631	8852	5154
632	8874	5145
633	8889	5131
634	8905	5118
635	8920	5105
636	8936	5092
637	8953	5080
638	8967	5066
639	8982	5052
640	8996	5038
641	9011	5025
642	9033	5015
643	9051	5003
644	9066	4990
645	9082	4976
646	9096	4963
647	9111	4949
648	9125	4935
649	9140	4922
650	9157	4909
651	9173	4896
652	9190	4883
653	9209	4872
654	9225	4859
655	9240	4845
656	9256	4832
657	9272	4819
658	9290	4807
659	9306	4794
660	9322	4780
661	9336	4767
662	9351	4753
663	9365	4739
664	9378	4724
665	9394	4711
666	9414	4700
667	9432	4688
668	9447	4674
669	9462	4660
670	9478	4647
671	9493	4633
672	9509	4620
673	9529	4609
674	9545	4595
675	9560	4582
676	9575	4568
677	9591	4555
678	9606	4541
679	9628	4530
680	9641	4516
681	9654	4501
682	9669	4487
683	9683	4473
684	9697	4459
685	9711	4445
686	9726	4431
687	9741	4417
688	9756	4404
689	9771	4389
690	9791	4378
691	9809	4365
692	9825	4352
693	9841	4339
694	9857	4326
695	9871	4311
696	9884	4297
697	9900	4283
698	9916	4270
699	9932	4256
700	9952	4245
701	9968	4231
702	9982	4217
703	9997	4203
704	10013	4190
705	10028	4175
706	10041	4161
707	10058	4148
708	10073	4134
709	10091	4121
710	10109	4109
711	10125	4095
712	10140	4081
713	10158	4068
714	10172	4054
715	10187	4040
716	10201	4026
717	10214	4012
718	10229	3997
719	10244	3983
720	10259	3969
721	10280	3958
722	10295	3944
723	10311	3930
724	10326	3916
725	10340	3902
726	10355	3888
727	10369	3874
728	10382	3859
729	10397	3845
730	10412	3831
731	10432	3819
732	10477	3816
733	10505	3807
734	10522	3793
735	10538	3780
736	10555	3766
737	10572	3753
738	10597	3742
739	10612	3728
740	10630	3715
741	10646	3701
742	10664	3688
743	10678	3674
744	10695	3660
745	10709	3646
746	10725	3632
747	10747	3620
748	10768	3608
749	10786	3595
750	10806	3582
751	10821	3568
752	10836	3554
753	10851	3540
754	10866	3526
755	10882	3512
756	10897	3497
757	10913	3484
758	10932	3471
759	10948	3457
760	10964	3443
761	10978	3428
762	10993	3414
763	11008	3400
764	11023	3386
765	11038	3372
766	11052	3357
767	11067	3343
768	11087	3330
769	11105	3317
770	11119	3302
771	11135	3288
772	11149	3274
773	11163	3259
774	11177	3245
775	11192	3230
776	11207	3216
777	11223	3202
778	11241	3189
779	11258	3175
780	11275	3161
781	11292	3148
782	11307	3133
783	11322	3119
784	11338	3105
785	11352	3091
786	11368	3076
787	11383	3062
788	11397	3048
789	11410	3033
790	11425	3018
791	11441	3004
792	11458	2990
793	11471	2976
794	11486	2961
795	11500	2947
796	11514	2932
797	11530	2918
798	11546	2904
799	11560	2890
800	11573	2875
801	11589	2861
802	11605	2847
803	11619	2832
804	11633	2817
805	11645	2802
806	11664	2789
807	11678	2775
808	11692	2760
809	11706	2746
810	11721	2731
811	11737	2717
812	11753	2703
813	11768	2689
814	11783	2674
815	11800	2660
816	11815	2646
817	11838	2634
818	11853	2619
819	11867	2605
820	11882	2590
821	11897	2576
822	11912	2562
823	11927	2547
824	11941	2533
825	11957	2518
826	11975	2505
827	11996	2492
828	12013	2478
829	12027	2463
830	12042	2449
831	12057	2434
832	12073	2420
833	12088	2406
834	12104	2391
835	12122	2378
836	12137	2363
837	12156	2350
838	12174	2336
839	12190	2322
840	12204	2307
841	12219	2292
842	12234	2278
843	12248	2263
844	12263	2249
845	12278	2235
846	12295	2220
847	12310	2206
848	12328	2192
849	12340	2177
850	12354	2163
851	12367	2148
852	12383	2134
853	12396	2119
854	12411	2104
855	12425	2090
856	12439	2075
857	12455	2061
858	12469	2046
859	12490	2033
860	12505	2018
861	12520	2004
862	12537	1990
863	12553	1976
864	12567	1961
865	12583	1947
866	12599	1932
867	12613	1918
868	12628	1903
869	12644	1889
870	12662	1875
871	12677	1860
872	12695	1846
873	12710	1832
874	12725	1817
875	12740	1803
876	12755	1788
877	12771	1774
878	12786	1760
879	12805	1746
880	12827	1732
881	12844	1718
882	12861	1704
883	12876	1689
884	12891	1675
885	12913	1661
886	12931	1647
887	12950	1633
888	12969	1619
889	12985	1604
890	13002	1590
891	13019	1576
892	13037	1562
893	13055	1547
894	13071	1533
895	13093	1519
896	13111	1505
897	13125	1490
898	13140	1476
899	13156	1461
900	13172	1447
901	13185	1432
902	13199	1417
903	13213	1403
904	13230	1388
905	13248	1374
906	13262	1359
907	13278	1345
908	13294	1330
909	13334	1318
910	13355	1304
911	13369	1290
912	13385	1275
913	13400	1260
914	13416	1246
915	13430	1231
916	13450	1217
917	13466	1202
918	13481	1188
919	13495	1173
920	13510	1158
921	13527	1144
922	13541	1129
923	13556	1115
924	13570	1100
925	13584	1085
926	13599	1070
927	13622	1056
928	13638	1042
929	13652	1027
930	13668	1013
931	13683	998
932	13698	983
933	13714	969
934	13729	954
