time,value
2025-01-01 00:00:00,28915
2025-01-01 01:00:00,27516
2025-01-01 02:00:00,29489
2025-01-01 03:00:00,31525
2025-01-01 04:00:00,30895
2025-01-01 05:00:00,30058
2025-01-01 06:00:00,29178
2025-01-01 07:00:00,28433
2025-01-01 08:00:00,27449
2025-01-01 09:00:00,26489
2025-01-01 10:00:00,26057
2025-01-01 11:00:00,25320
2025-01-01 12:00:00,24497
2025-01-01 13:00:00,24085
2025-01-01 14:00:00,24142
2025-01-01 15:00:00,24534
2025-01-01 16:00:00,25173
2025-01-01 17:00:00,25968
2025-01-01 18:00:00,27602
2025-01-01 19:00:00,29235
2025-01-01 20:00:00,28292
2025-01-01 21:00:00,27806
2025-01-01 22:00:00,28189
2025-01-01 23:00:00,27994
2025-01-02 00:00:00,27377
2025-01-02 01:00:00,26459
2025-01-02 02:00:00,28374
2025-01-02 03:00:00,30147
2025-01-02 04:00:00,30173
2025-01-02 05:00:00,29833
2025-01-02 06:00:00,29248
2025-01-02 07:00:00,28679
2025-01-02 08:00:00,27343
2025-01-02 09:00:00,26004
2025-01-02 10:00:00,25189
2025-01-02 11:00:00,24554
2025-01-02 12:00:00,23997
2025-01-02 13:00:00,24273
2025-01-02 14:00:00,24788
2025-01-02 15:00:00,26421
2025-01-02 16:00:00,28535
2025-01-02 17:00:00,30041
2025-01-02 18:00:00,31893
2025-01-02 19:00:00,32551
2025-01-02 20:00:00,31720
2025-01-02 21:00:00,31672
2025-01-02 22:00:00,31086
2025-01-02 23:00:00,30667
2025-01-03 00:00:00,30272
2025-01-03 01:00:00,28988
2025-01-03 02:00:00,30790
2025-01-03 03:00:00,32492
2025-01-03 04:00:00,32091
2025-01-03 05:00:00,31646
2025-01-03 06:00:00,31031
2025-01-03 07:00:00,30063
2025-01-03 08:00:00,28489
2025-01-03 09:00:00,26984
2025-01-03 10:00:00,26784
2025-01-03 11:00:00,26440
2025-01-03 12:00:00,25638
2025-01-03 13:00:00,25364
2025-01-03 14:00:00,25494
2025-01-03 15:00:00,26612
2025-01-03 16:00:00,28615
2025-01-03 17:00:00,29654
2025-01-03 18:00:00,30333
2025-01-03 19:00:00,31126
2025-01-03 20:00:00,31620
2025-01-03 21:00:00,32828
2025-01-03 22:00:00,32275
2025-01-03 23:00:00,31804
2025-01-04 00:00:00,31416
2025-01-04 01:00:00,30307
2025-01-04 02:00:00,30847
2025-01-04 03:00:00,32347
2025-01-04 04:00:00,32257
2025-01-04 05:00:00,32151
2025-01-04 06:00:00,31392
2025-01-04 07:00:00,30660
2025-01-04 08:00:00,29316
2025-01-04 09:00:00,28206
2025-01-04 10:00:00,27198
2025-01-04 11:00:00,26743
2025-01-04 12:00:00,25465
2025-01-04 13:00:00,25094
2025-01-04 14:00:00,24956
2025-01-04 15:00:00,25600
2025-01-04 16:00:00,26719
2025-01-04 17:00:00,27611
2025-01-04 18:00:00,30005
2025-01-04 19:00:00,31061
2025-01-04 20:00:00,29698
2025-01-04 21:00:00,28581
2025-01-04 22:00:00,28351
2025-01-04 23:00:00,27724
2025-01-05 00:00:00,27991
2025-01-05 01:00:00,27008
2025-01-05 02:00:00,28891
2025-01-05 03:00:00,31290
2025-01-05 04:00:00,31383
2025-01-05 05:00:00,30922
2025-01-05 06:00:00,30127
2025-01-05 07:00:00,29429
2025-01-05 08:00:00,28438
2025-01-05 09:00:00,27411
2025-01-05 10:00:00,26561
2025-01-05 11:00:00,25796
2025-01-05 12:00:00,24861
2025-01-05 13:00:00,24573
2025-01-05 14:00:00,24638
2025-01-05 15:00:00,25240
2025-01-05 16:00:00,26064
2025-01-05 17:00:00,27011
2025-01-05 18:00:00,28364
2025-01-05 19:00:00,28447
2025-01-05 20:00:00,27985
2025-01-05 21:00:00,27410
2025-01-05 22:00:00,27797
2025-01-05 23:00:00,27443
2025-01-06 00:00:00,27078
2025-01-06 01:00:00,26096
2025-01-06 02:00:00,27846
2025-01-06 03:00:00,30231
2025-01-06 04:00:00,30453
2025-01-06 05:00:00,30154
2025-01-06 06:00:00,29427
2025-01-06 07:00:00,28896
2025-01-06 08:00:00,27288
2025-01-06 09:00:00,26021
2025-01-06 10:00:00,25567
2025-01-06 11:00:00,25199
2025-01-06 12:00:00,24294
2025-01-06 13:00:00,24134
2025-01-06 14:00:00,24924
2025-01-06 15:00:00,26953
2025-01-06 16:00:00,29371
2025-01-06 17:00:00,31184
2025-01-06 18:00:00,31752
2025-01-06 19:00:00,31437
2025-01-06 20:00:00,30838
2025-01-06 21:00:00,28869
2025-01-06 22:00:00,30632
2025-01-06 23:00:00,29983
2025-01-07 00:00:00,29941
2025-01-07 01:00:00,29507
2025-01-07 02:00:00,30602
2025-01-07 03:00:00,32591
2025-01-07 04:00:00,32470
2025-01-07 05:00:00,32128
2025-01-07 06:00:00,31268
2025-01-07 07:00:00,30310
2025-01-07 08:00:00,29452
2025-01-07 09:00:00,27829
2025-01-07 10:00:00,26734
2025-01-07 11:00:00,26013
2025-01-07 12:00:00,25086
2025-01-07 13:00:00,24927
2025-01-07 14:00:00,25649
2025-01-07 15:00:00,27344
2025-01-07 16:00:00,29661
2025-01-07 17:00:00,31112
2025-01-07 18:00:00,31205
2025-01-07 19:00:00,30913
2025-01-07 20:00:00,30441
2025-01-07 21:00:00,30487
2025-01-07 22:00:00,29699
2025-01-07 23:00:00,29466
2025-01-08 00:00:00,29483
2025-01-08 01:00:00,29247
2025-01-08 02:00:00,30535
2025-01-08 03:00:00,32570
2025-01-08 04:00:00,32511
2025-01-08 05:00:00,31965
2025-01-08 06:00:00,31027
2025-01-08 07:00:00,29949
2025-01-08 08:00:00,28320
2025-01-08 09:00:00,26758
2025-01-08 10:00:00,26045
2025-01-08 11:00:00,25249
2025-01-08 12:00:00,24604
2025-01-08 13:00:00,24531
2025-01-08 14:00:00,24661
2025-01-08 15:00:00,26189
2025-01-08 16:00:00,28274
2025-01-08 17:00:00,29727
2025-01-08 18:00:00,29624
2025-01-08 19:00:00,29209
2025-01-08 20:00:00,29529
2025-01-08 21:00:00,28713
2025-01-08 22:00:00,28599
2025-01-08 23:00:00,28633
2025-01-09 00:00:00,29157
2025-01-09 01:00:00,28417
2025-01-09 02:00:00,29272
2025-01-09 03:00:00,31107
2025-01-09 04:00:00,31319
2025-01-09 05:00:00,31080
2025-01-09 06:00:00,30544
2025-01-09 07:00:00,29731
2025-01-09 08:00:00,28153
2025-01-09 09:00:00,26832
2025-01-09 10:00:00,26240
2025-01-09 11:00:00,25437
2025-01-09 12:00:00,25013
2025-01-09 13:00:00,24736
2025-01-09 14:00:00,25320
2025-01-09 15:00:00,26962
2025-01-09 16:00:00,29529
2025-01-09 17:00:00,31156
2025-01-09 18:00:00,31972
2025-01-09 19:00:00,30918
2025-01-09 20:00:00,29550
2025-01-09 21:00:00,28895
2025-01-09 22:00:00,29050
2025-01-09 23:00:00,28656
