date,hour,electric,temp,feelslike,humidity,windspeed,cloudcover,solaradiation,precip,preciptype,is_holiday
2025-01-01,00,28915,6.9,6.9,84.65,0.9,6.4,0.0,0.0,,1
2025-01-01,01,27516,6.8,6.8,83.83,0.7,11.5,0.0,0.0,,1
2025-01-01,02,29489,6.0,6.0,88.75,1.2,11.2,0.0,0.0,,1
2025-01-01,03,31525,4.4,4.4,93.06,0.9,6.4,0.0,0.0,,1
2025-01-01,04,30895,4.3,4.3,92.47,1.0,11.5,0.0,0.0,,1
2025-01-01,05,30058,5.2,5.2,89.84,0.7,11.2,0.0,0.0,,1
2025-01-01,06,29178,4.9,4.9,92.71,0.8,12.7,0.0,0.0,,1
2025-01-01,07,28433,6.1,4.5,89.48,7.5,12.3,0.0,0.0,,1
2025-01-01,08,27449,6.2,6.2,92.38,0.1,12.7,0.0,0.0,,1
2025-01-01,09,26489,7.3,7.3,90.06,4.5,86.8,0.0,0.0,,1
2025-01-01,10,26057,8.7,8.7,82.57,0.8,84.9,0.0,0.0,,1
2025-01-01,11,25320,9.5,9.5,78.45,1.2,96.3,0.0,0.0,,1
2025-01-01,12,24497,10.2,10.2,77.36,5.8,95.8,0.0,0.0,,1
2025-01-01,13,24085,11.2,11.2,76.35,2.1,97.8,0.0,0.0,,1
2025-01-01,14,24142,11.2,11.2,74.77,5.6,95.6,0.0,0.0,,1
2025-01-01,15,24534,11.3,11.3,74.43,0.0,87.4,0.0,0.0,,1
2025-01-01,16,25173,11.3,11.3,74.47,0.0,97.8,0.0,0.0,,1
2025-01-01,17,25968,11.2,11.2,75.77,4.5,89.4,0.0,0.0,,1
2025-01-01,18,27602,10.8,10.8,79.35,1.2,98.5,0.0,0.0,,1
2025-01-01,19,29235,10.8,10.8,79.81,0.6,100.0,0.0,0.0,,1
2025-01-01,20,28292,10.2,10.2,82.92,5.3,99.7,0.0,0.0,,1

