time,value
2019-01-01 00:00:00,28487
2019-01-01 01:00:00,30507
2019-01-01 02:00:00,33785
2019-01-01 03:00:00,33796
2019-01-01 04:00:00,32764
2019-01-01 05:00:00,31673
2019-01-01 06:00:00,30496
2019-01-01 07:00:00,29112
2019-01-01 08:00:00,27841
2019-01-01 09:00:00,26876
2019-01-01 10:00:00,25989
2019-01-01 11:00:00,25295
2019-01-01 12:00:00,24884
2019-01-01 13:00:00,24922
2019-01-01 14:00:00,25493
2019-01-01 15:00:00,26395
2019-01-01 16:00:00,26311
2019-01-01 17:00:00,25583
2019-01-01 18:00:00,24916
2019-01-01 19:00:00,24324
2019-01-01 20:00:00,23706
2019-01-01 21:00:00,23206
2019-01-01 22:00:00,23220
2019-01-01 23:00:00,23851
2019-01-02 00:00:00,25292
2019-01-02 01:00:00,28107
2019-01-02 02:00:00,32138
2019-01-02 03:00:00,33031
2019-01-02 04:00:00,32832
2019-01-02 05:00:00,32372
2019-01-02 06:00:00,31231
2019-01-02 07:00:00,29346
2019-01-02 08:00:00,27419
2019-01-02 09:00:00,26159
2019-01-02 10:00:00,25258
2019-01-02 11:00:00,24853
2019-01-02 12:00:00,24970
2019-01-02 13:00:00,25901
2019-01-02 14:00:00,27923
2019-01-02 15:00:00,30547
2019-01-02 16:00:00,31785
2019-01-02 17:00:00,31326
2019-01-02 18:00:00,30199
2019-01-02 19:00:00,29217
2019-01-02 20:00:00,28293
2019-01-02 21:00:00,27718
2019-01-02 22:00:00,27587
2019-01-02 23:00:00,28163
2019-01-03 00:00:00,29224
2019-01-03 01:00:00,31414
2019-01-03 02:00:00,34464
2019-01-03 03:00:00,35075
2019-01-03 04:00:00,35139
2019-01-03 05:00:00,34707
2019-01-03 06:00:00,33226
2019-01-03 07:00:00,31001
2019-01-03 08:00:00,28892
2019-01-03 09:00:00,27633
2019-01-03 10:00:00,26584
2019-01-03 11:00:00,26100
2019-01-03 12:00:00,26093
2019-01-03 13:00:00,26878
2019-01-03 14:00:00,28562
2019-01-03 15:00:00,31152
2019-01-03 16:00:00,32485
2019-01-03 17:00:00,32045
2019-01-03 18:00:00,31061
2019-01-03 19:00:00,29969
2019-01-03 20:00:00,29044
2019-01-03 21:00:00,28541
2019-01-03 22:00:00,28645
2019-01-03 23:00:00,29004
2019-01-04 00:00:00,29438
2019-01-04 01:00:00,31257
2019-01-04 02:00:00,34366
2019-01-04 03:00:00,34882
2019-01-04 04:00:00,34629
2019-01-04 05:00:00,34009
2019-01-04 06:00:00,32628
2019-01-04 07:00:00,30528
2019-01-04 08:00:00,28434
2019-01-04 09:00:00,27124
2019-01-04 10:00:00,26270
2019-01-04 11:00:00,25790
2019-01-04 12:00:00,25788
2019-01-04 13:00:00,26534
2019-01-04 14:00:00,28250
2019-01-04 15:00:00,30883
2019-01-04 16:00:00,32067
2019-01-04 17:00:00,31821
2019-01-04 18:00:00,31104
2019-01-04 19:00:00,29976
2019-01-04 20:00:00,29101
2019-01-04 21:00:00,28304
2019-01-04 22:00:00,28259
2019-01-04 23:00:00,28602
2019-01-05 00:00:00,29002
2019-01-05 01:00:00,31107
2019-01-05 02:00:00,34015
2019-01-05 03:00:00,34316
2019-01-05 04:00:00,33832
2019-01-05 05:00:00,33246
2019-01-05 06:00:00,31911
2019-01-05 07:00:00,30159
2019-01-05 08:00:00,28217
2019-01-05 09:00:00,26817
2019-01-05 10:00:00,25676
2019-01-05 11:00:00,25495
2019-01-05 12:00:00,25174
2019-01-05 13:00:00,25331
2019-01-05 14:00:00,26114
2019-01-05 15:00:00,27378
2019-01-05 16:00:00,28320
2019-01-05 17:00:00,29579
2019-01-05 18:00:00,30582
2019-01-05 19:00:00,30712
2019-01-05 20:00:00,30668
2019-01-05 21:00:00,30585
2019-01-05 22:00:00,30494
2019-01-05 23:00:00,30710
2019-01-06 00:00:00,30944
2019-01-06 01:00:00,31801
2019-01-06 02:00:00,33578
2019-01-06 03:00:00,33470
2019-01-06 04:00:00,32992
2019-01-06 05:00:00,32173
2019-01-06 06:00:00,31080
2019-01-06 07:00:00,29362
2019-01-06 08:00:00,27576
2019-01-06 09:00:00,26373
2019-01-06 10:00:00,25311
2019-01-06 11:00:00,24564
2019-01-06 12:00:00,24197
2019-01-06 13:00:00,24329
2019-01-06 14:00:00,24533
2019-01-06 15:00:00,25271
2019-01-06 16:00:00,25840
2019-01-06 17:00:00,26185
2019-01-06 18:00:00,26655
2019-01-06 19:00:00,26977
2019-01-06 20:00:00,27075
2019-01-06 21:00:00,27263
2019-01-06 22:00:00,27469
2019-01-06 23:00:00,27529
2019-01-07 00:00:00,28141
2019-01-07 01:00:00,29887
2019-01-07 02:00:00,32841
2019-01-07 03:00:00,33087
2019-01-07 04:00:00,32333
2019-01-07 05:00:00,31562
2019-01-07 06:00:00,30261
2019-01-07 07:00:00,28454
2019-01-07 08:00:00,26423
2019-01-07 09:00:00,24795
2019-01-07 10:00:00,24268
2019-01-07 11:00:00,24223
2019-01-07 12:00:00,24343
2019-01-07 13:00:00,24758
2019-01-07 14:00:00,26743
2019-01-07 15:00:00,30416
2019-01-07 16:00:00,31979
2019-01-07 17:00:00,31797
2019-01-07 18:00:00,31274
2019-01-07 19:00:00,30462
2019-01-07 20:00:00,28537
2019-01-07 21:00:00,28398
2019-01-07 22:00:00,28311
2019-01-07 23:00:00,28328
2019-01-08 00:00:00,28699
2019-01-08 01:00:00,29585
2019-01-08 02:00:00,31365
2019-01-08 03:00:00,31570
2019-01-08 04:00:00,31297
2019-01-08 05:00:00,30810
2019-01-08 06:00:00,29695
2019-01-08 07:00:00,28250
2019-01-08 08:00:00,26785
2019-01-08 09:00:00,25933
2019-01-08 10:00:00,25246
2019-01-08 11:00:00,24863
2019-01-08 12:00:00,24599
2019-01-08 13:00:00,25201
2019-01-08 14:00:00,27075
2019-01-08 15:00:00,29635
2019-01-08 16:00:00,30503
2019-01-08 17:00:00,30173
2019-01-08 18:00:00,29923
2019-01-08 19:00:00,30429
2019-01-08 20:00:00,30076
2019-01-08 21:00:00,29896
2019-01-08 22:00:00,29738
2019-01-08 23:00:00,29807
2019-01-09 00:00:00,30480
2019-01-09 01:00:00,31561
2019-01-09 02:00:00,33821
2019-01-09 03:00:00,34032
2019-01-09 04:00:00,33409
2019-01-09 05:00:00,32485
2019-01-09 06:00:00,30948
2019-01-09 07:00:00,28774
2019-01-09 08:00:00,26883
2019-01-09 09:00:00,25980
2019-01-09 10:00:00,24859
2019-01-09 11:00:00,24536
2019-01-09 12:00:00,24439
2019-01-09 13:00:00,25140
2019-01-09 14:00:00,26726
2019-01-09 15:00:00,29399
2019-01-09 16:00:00,30983
2019-01-09 17:00:00,30716
2019-01-09 18:00:00,30359
2019-01-09 19:00:00,29921
2019-01-09 20:00:00,29373
2019-01-09 21:00:00,29301
2019-01-09 22:00:00,29577
2019-01-09 23:00:00,29869
2019-01-10 00:00:00,30437
2019-01-10 01:00:00,31341
2019-01-10 02:00:00,33796
2019-01-10 03:00:00,34174
2019-01-10 04:00:00,33502
2019-01-10 05:00:00,32654
2019-01-10 06:00:00,31339
2019-01-10 07:00:00,29430
2019-01-10 08:00:00,27466
2019-01-10 09:00:00,26110
2019-01-10 10:00:00,25250
2019-01-10 11:00:00,24682
2019-01-10 12:00:00,24584
2019-01-10 13:00:00,25041
2019-01-10 14:00:00,26384
2019-01-10 15:00:00,28451
2019-01-10 16:00:00,29227
2019-01-10 17:00:00,29183
2019-01-10 18:00:00,28818
2019-01-10 19:00:00,28195
2019-01-10 20:00:00,28609
2019-01-10 21:00:00,28614
2019-01-10 22:00:00,28560
2019-01-10 23:00:00,28883
2019-01-11 00:00:00,29476
2019-01-11 01:00:00,30597
2019-01-11 02:00:00,33116
2019-01-11 03:00:00,33612
2019-01-11 04:00:00,33155
2019-01-11 05:00:00,32586
2019-01-11 06:00:00,31249
2019-01-11 07:00:00,29412
