datetime,temp,feelslike,humidity,windspeed,cloudcover,solarradiation,precip,preciptype
2023-01-01 00:00:00,11.1,11.1,72.14,14.8,100.0,0.0,0.0,rain
2023-01-01 01:00:00,11.1,11.1,73.83,24.3,98.8,0.0,0.0,none
2023-01-01 02:00:00,10.0,7.5,73.78,18.9,92.6,0.0,0.0,none
2023-01-01 03:00:00,9.0,6.4,72.01,18.1,26.8,0.0,0.0,none
2023-01-01 04:00:00,10.0,6.7,63.38,28.3,0.0,0.0,13.45,rain
2023-01-01 05:00:00,10.0,6.6,58.72,29.9,0.0,0.0,0.0,none
2023-01-01 06:00:00,9.4,5.5,59.1,34.0,0.0,0.0,0.0,none
2023-01-01 07:00:00,8.4,5.1,62.79,23.0,0.0,0.0,0.0,none
2023-01-01 08:00:00,8.9,5.5,58.55,25.2,0.0,6.0,0.0,none
2023-01-01 09:00:00,10.0,6.7,56.63,28.1,0.0,104.0,0.0,none
2023-01-01 10:00:00,11.2,11.2,52.42,37.4,0.0,169.0,0.0,none
2023-01-01 11:00:00,12.9,12.9,50.64,35.8,0.0,169.0,0.0,none
2023-01-01 12:00:00,13.8,13.8,47.76,40.1,0.0,351.0,0.0,none
2023-01-01 13:00:00,14.4,14.4,42.67,40.5,0.0,497.0,0.0,none
2023-01-01 14:00:00,15.0,15.0,42.3,35.6,2.5,345.0,0.0,none
2023-01-01 15:00:00,15.1,15.1,42.11,32.2,2.5,358.0,0.0,none
2023-01-01 16:00:00,14.4,14.4,44.23,32.3,2.5,69.0,0.0,none
2023-01-01 17:00:00,12.8,12.8,50.82,27.7,2.5,13.0,0.0,none
2023-01-01 18:00:00,11.7,11.7,52.75,23.8,0.0,1.0,0.0,none
2023-01-01 19:00:00,10.7,10.7,56.18,20.7,0.0,0.0,0.0,none
2023-01-01 20:00:00,9.9,7.2,57.04,20.3,0.0,0.0,0.0,none
2023-01-01 21:00:00,9.3,7.0,56.99,15.3,0.0,0.0,0.0,none
2023-01-01 22:00:00,7.9,5.4,62.88,14.8,0.0,0.0,0.0,none
2023-01-01 23:00:00,6.6,4.3,68.45,11.5,0.0,0.0,0.0,none
2023-01-02 00:00:00,6.6,3.3,70.97,18.0,2.5,0.0,0.0,none
2023-01-02 01:00:00,6.7,3.9,67.65,14.8,2.5,0.0,0.0,none
2023-01-02 02:00:00,7.2,4.2,63.5,17.0,5.0,0.0,0.0,none
2023-01-02 03:00:00,5.8,3.0,69.95,13.1,5.0,0.0,0.0,none
2023-01-02 04:00:00,5.1,4.0,73.45,5.4,2.5,0.0,0.0,none
2023-01-02 05:00:00,4.9,3.9,74.11,5.4,5.0,0.0,0.0,none
2023-01-02 06:00:00,3.9,2.9,81.96,4.9,8.7,0.0,0.0,none
2023-01-02 07:00:00,3.9,3.9,79.63,0.0,8.7,0.0,0.0,none
2023-01-02 08:00:00,4.0,2.1,84.52,7.7,8.7,12.0,0.0,none
2023-01-02 09:00:00,5.7,4.0,81.91,7.9,8.7,64.0,0.0,none
2023-01-02 10:00:00,5.8,3.3,77.97,11.2,9.9,147.0,0.0,none
2023-01-02 11:00:00,6.8,4.5,76.12,11.3,55.0,138.0,0.0,none
2023-01-02 12:00:00,7.9,5.5,67.6,13.7,100.0,127.0,0.0,none
2023-01-02 13:00:00,8.8,7.8,72.63,7.6,100.0,92.0,0.0,rain
2023-01-02 14:00:00,7.3,5.0,81.14,12.6,100.0,44.0,0.27,rain
2023-01-02 15:00:00,7.3,4.3,85.05,17.1,100.0,20.0,3.433,rain
2023-01-02 16:00:00,7.5,4.8,82.07,15.8,100.0,6.0,1.922,rain
2023-01-02 17:00:00,7.3,5.1,85.41,11.7,100.0,5.0,1.77,rain
2023-01-02 18:00:00,7.3,4.8,89.43,13.7,100.0,0.0,2.8,rain
2023-01-02 19:00:00,6.8,3.7,91.79,17.3,100.0,0.0,2.294,rain
2023-01-02 20:00:00,7.3,5.7,85.41,8.4,100.0,0.0,1.649,rain
2023-01-02 21:00:00,6.8,5.3,88.87,7.7,100.0,0.0,0.29,rain
2023-01-02 22:00:00,6.7,5.3,92.93,7.6,100.0,0.0,0.45,rain
2023-01-02 23:00:00,6.2,3.1,91.5,16.0,100.0,0.0,0.0,rain
2023-01-03 00:00:00,6.1,3.6,88.24,12.6,100.0,0.0,0.0,rain
2023-01-03 01:00:00,6.1,2.7,85.2,18.4,100.0,0.0,0.0,rain
2023-01-03 02:00:00,6.2,3.3,85.15,14.8,100.0,0.0,0.0,rain
2023-01-03 03:00:00,5.7,2.6,91.03,14.9,100.0,0.0,0.0,rain
2023-01-03 04:00:00,6.1,3.4,91.87,13.5,100.0,0.0,0.0,none
2023-01-03 05:00:00,6.1,3.8,91.87,11.3,100.0,0.0,0.0,rain
2023-01-03 06:00:00,5.7,3.2,94.78,11.5,100.0,0.0,0.109,rain
2023-01-03 07:00:00,5.7,3.3,94.78,11.2,100.0,0.0,0.191,rain
2023-01-03 08:00:00,5.7,3.5,95.1,9.9,100.0,7.0,0.0,rain
2023-01-03 09:00:00,5.7,2.2,91.03,18.2,100.0,42.0,0.0,rain
2023-01-03 10:00:00,6.2,4.3,91.87,9.4,100.0,44.0,0.0,none
2023-01-03 11:00:00,7.2,6.3,92.64,5.8,100.0,86.0,0.0,none
2023-01-03 12:00:00,7.9,6.6,88.7,7.7,100.0,257.0,0.0,rain
2023-01-03 13:00:00,8.3,6.7,89.37,9.4,100.0,252.0,0.0,none
2023-01-03 14:00:00,8.4,7.2,88.77,7.7,100.0,229.0,0.0,none
2023-01-03 15:00:00,8.4,6.6,88.77,11.0,89.9,229.0,0.0,none
2023-01-03 16:00:00,8.1,6.5,88.42,9.4,100.0,61.0,0.0,rain
2023-01-03 17:00:00,7.9,6.3,88.71,9.4,100.0,20.0,0.0,none
