Type_,Actual_mean,Actual_min,Actual_max,Predicted_mean,Predicted_min,Predicted_max,Iteration,Generated_At
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,1,2025-01-16T10:07:24.551930
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,1,2025-01-16T10:07:24.551930
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,2,2025-01-16T10:08:04.250278
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,2,2025-01-16T10:08:04.250278
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,3,2025-01-16T10:08:37.236908
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,3,2025-01-16T10:08:37.236908
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,1,2025-01-16T10:19:46.114657
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,1,2025-01-16T10:19:46.114657
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,2,2025-01-16T10:20:24.904999
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,2,2025-01-16T10:20:24.904999
Future,,,,30596.80770235832,22350.067346110565,50571.46089769862,3,2025-01-16T10:20:59.473942
Historical,30605.35448624156,5719.0,63622.0,30605.35372819969,22141.902813449127,50622.40569521449,3,2025-01-16T10:20:59.473942
Future,,,,30595.582868467507,22440.03066832148,51130.93796652504,1,2025-01-16T06:48:46.111122
Historical,30605.028141438444,5719.0,63622.0,30605.02907839341,22466.837580266823,51130.93796652504,1,2025-01-16T06:48:46.111122
Future,,,,30595.582868467507,22440.03066832148,51130.93796652504,2,2025-01-16T06:49:18.898621
Historical,30605.028141438444,5719.0,63622.0,30605.02907839341,22466.837580266823,51130.93796652504,2,2025-01-16T06:49:18.898621
Future,,,,30595.582868467507,22440.03066832148,51130.93796652504,3,2025-01-16T06:49:48.446844
Historical,30605.028141438444,5719.0,63622.0,30605.02907839341,22466.837580266823,51130.93796652504,3,2025-01-16T06:49:48.446844
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:07:24.551930
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:07:24.551930
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:08:04.250278
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:08:04.250278
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:08:37.236908
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:08:37.236908
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:19:46.114657
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:19:46.114657
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:20:24.904999
