date,name
2021-01-01,New Year's Day
2021-01-18,Martin Luther King Jr. Day
2021-02-15,Susan B. Anthony Day; Washington's Birthday
2021-03-31,Cesar Chavez Day
2021-05-31,Memorial Day
2021-06-18,Juneteenth National Independence Day (observed)
2021-06-19,Juneteenth National Independence Day
2021-07-04,Independence Day
2021-07-05,Independence Day (observed)
2021-09-06,Labor Day
2021-11-11,Veterans Day
2021-11-25,Thanksgiving
2021-11-26,Day After Thanksgiving
2021-12-24,Christmas Day (observed)
2021-12-25,Christmas Day
2021-12-31,New Year's Day (observed)
