time,value
2022-01-01 00:00:00,27730
2022-01-01 01:00:00,29970
2022-01-01 02:00:00,33002
2022-01-01 03:00:00,33101
2022-01-01 04:00:00,32336
2022-01-01 05:00:00,31464
2022-01-01 06:00:00,30535
2022-01-01 07:00:00,29463
2022-01-01 08:00:00,28453
2022-01-01 09:00:00,27258
2022-01-01 10:00:00,26281
2022-01-01 11:00:00,25711
2022-01-01 12:00:00,25480
2022-01-01 13:00:00,25516
2022-01-01 14:00:00,25987
2022-01-01 15:00:00,26782
2022-01-01 16:00:00,26947
2022-01-01 17:00:00,26658
2022-01-01 18:00:00,25800
2022-01-01 19:00:00,24996
2022-01-01 20:00:00,23778
2022-01-01 21:00:00,23515
2022-01-01 22:00:00,23518
2022-01-01 23:00:00,24484
2022-01-02 00:00:00,25435
2022-01-02 01:00:00,27867
2022-01-02 02:00:00,31261
2022-01-02 03:00:00,32093
2022-01-02 04:00:00,31986
2022-01-02 05:00:00,31632
2022-01-02 06:00:00,31002
2022-01-02 07:00:00,29684
2022-01-02 08:00:00,28195
2022-01-02 09:00:00,27094
2022-01-02 10:00:00,26349
2022-01-02 11:00:00,26001
2022-01-02 12:00:00,25865
2022-01-02 13:00:00,26097
2022-01-02 14:00:00,26743
2022-01-02 15:00:00,27756
2022-01-02 16:00:00,28268
2022-01-02 17:00:00,27796
2022-01-02 18:00:00,26880
2022-01-02 19:00:00,25704
2022-01-02 20:00:00,24655
2022-01-02 21:00:00,24247
2022-01-02 22:00:00,24390
2022-01-02 23:00:00,25109
2022-01-03 00:00:00,26144
2022-01-03 01:00:00,29091
2022-01-03 02:00:00,32582
2022-01-03 03:00:00,33226
2022-01-03 04:00:00,33002
2022-01-03 05:00:00,32488
2022-01-03 06:00:00,31540
2022-01-03 07:00:00,29901
2022-01-03 08:00:00,28107
2022-01-03 09:00:00,27089
2022-01-03 10:00:00,26320
2022-01-03 11:00:00,26047
2022-01-03 12:00:00,26180
2022-01-03 13:00:00,26739
2022-01-03 14:00:00,28573
2022-01-03 15:00:00,30947
2022-01-03 16:00:00,32393
2022-01-03 17:00:00,31983
2022-01-03 18:00:00,31056
2022-01-03 19:00:00,30263
2022-01-03 20:00:00,29356
2022-01-03 21:00:00,29407
2022-01-03 22:00:00,29414
2022-01-03 23:00:00,29806
2022-01-04 00:00:00,30463
2022-01-04 01:00:00,32507
2022-01-04 02:00:00,35381
2022-01-04 03:00:00,35647
2022-01-04 04:00:00,35102
2022-01-04 05:00:00,34263
2022-01-04 06:00:00,32897
2022-01-04 07:00:00,30827
2022-01-04 08:00:00,28830
2022-01-04 09:00:00,27495
2022-01-04 10:00:00,26586
2022-01-04 11:00:00,26452
2022-01-04 12:00:00,26278
2022-01-04 13:00:00,26745
2022-01-04 14:00:00,28307
2022-01-04 15:00:00,30836
2022-01-04 16:00:00,31858
2022-01-04 17:00:00,31874
2022-01-04 18:00:00,31336
2022-01-04 19:00:00,30050
2022-01-04 20:00:00,28726
2022-01-04 21:00:00,28282
2022-01-04 22:00:00,28133
2022-01-04 23:00:00,28525
2022-01-05 00:00:00,29294
2022-01-05 01:00:00,31592
2022-01-05 02:00:00,34529
2022-01-05 03:00:00,34782
2022-01-05 04:00:00,34287
2022-01-05 05:00:00,33447
2022-01-05 06:00:00,32184
2022-01-05 07:00:00,30299
2022-01-05 08:00:00,28373
2022-01-05 09:00:00,27248
2022-01-05 10:00:00,25831
2022-01-05 11:00:00,25914
2022-01-05 12:00:00,25949
2022-01-05 13:00:00,26442
2022-01-05 14:00:00,27870
2022-01-05 15:00:00,30392
2022-01-05 16:00:00,31893
2022-01-05 17:00:00,31801
2022-01-05 18:00:00,31025
2022-01-05 19:00:00,30045
2022-01-05 20:00:00,28774
2022-01-05 21:00:00,28155
2022-01-05 22:00:00,28123
2022-01-05 23:00:00,28520
2022-01-06 00:00:00,29346
2022-01-06 01:00:00,31561
2022-01-06 02:00:00,34085
2022-01-06 03:00:00,34259
2022-01-06 04:00:00,33686
2022-01-06 05:00:00,32834
2022-01-06 06:00:00,31569
2022-01-06 07:00:00,29696
2022-01-06 08:00:00,27833
2022-01-06 09:00:00,26804
2022-01-06 10:00:00,25947
2022-01-06 11:00:00,25459
2022-01-06 12:00:00,25432
2022-01-06 13:00:00,25984
2022-01-06 14:00:00,27441
2022-01-06 15:00:00,29949
2022-01-06 16:00:00,31403
2022-01-06 17:00:00,31073
2022-01-06 18:00:00,30597
2022-01-06 19:00:00,29786
2022-01-06 20:00:00,29377
2022-01-06 21:00:00,29055
2022-01-06 22:00:00,29066
2022-01-06 23:00:00,29391
2022-01-07 00:00:00,29888
2022-01-07 01:00:00,31723
2022-01-07 02:00:00,34084
2022-01-07 03:00:00,34211
2022-01-07 04:00:00,33499
2022-01-07 05:00:00,32578
2022-01-07 06:00:00,31380
2022-01-07 07:00:00,29542
2022-01-07 08:00:00,27759
2022-01-07 09:00:00,26586
2022-01-07 10:00:00,25817
2022-01-07 11:00:00,25396
2022-01-07 12:00:00,25286
2022-01-07 13:00:00,25981
2022-01-07 14:00:00,27413
2022-01-07 15:00:00,29767
2022-01-07 16:00:00,31306
2022-01-07 17:00:00,31722
2022-01-07 18:00:00,31769
2022-01-07 19:00:00,31337
2022-01-07 20:00:00,30568
2022-01-07 21:00:00,30525
2022-01-07 22:00:00,30583
2022-01-07 23:00:00,30641
2022-01-08 00:00:00,30789
2022-01-08 01:00:00,32030
2022-01-08 02:00:00,34227
2022-01-08 03:00:00,34190
2022-01-08 04:00:00,33467
2022-01-08 05:00:00,32582
2022-01-08 06:00:00,31412
2022-01-08 07:00:00,29743
2022-01-08 08:00:00,27926
2022-01-08 09:00:00,26705
2022-01-08 10:00:00,25628
2022-01-08 11:00:00,25050
2022-01-08 12:00:00,24675
2022-01-08 13:00:00,24921
2022-01-08 14:00:00,25515
2022-01-08 15:00:00,26649
2022-01-08 16:00:00,27438
2022-01-08 17:00:00,27865
2022-01-08 18:00:00,27337
