time,value
2019-01-01 00:00:00,28487
2019-01-01 01:00:00,30507
2019-01-01 02:00:00,33785
2019-01-01 03:00:00,33796
2019-01-01 04:00:00,32764
2019-01-01 05:00:00,31673
2019-01-01 06:00:00,30496
2019-01-01 07:00:00,29112
2019-01-01 08:00:00,27841
2019-01-01 09:00:00,26876
2019-01-01 10:00:00,25989
2019-01-01 11:00:00,25295
2019-01-01 12:00:00,24884
2019-01-01 13:00:00,24922
2019-01-01 14:00:00,25493
2019-01-01 15:00:00,26395
2019-01-01 16:00:00,26311
2019-01-01 17:00:00,25583
2019-01-01 18:00:00,24916
2019-01-01 19:00:00,24324
2019-01-01 20:00:00,23706
2019-01-01 21:00:00,23206
2019-01-01 22:00:00,23220
2019-01-01 23:00:00,23851
2019-01-02 00:00:00,25292
2019-01-02 01:00:00,28107
2019-01-02 02:00:00,32138
2019-01-02 03:00:00,33031
2019-01-02 04:00:00,32832
2019-01-02 05:00:00,32372
2019-01-02 06:00:00,31231
2019-01-02 07:00:00,29346
2019-01-02 08:00:00,27419
2019-01-02 09:00:00,26159
2019-01-02 10:00:00,25258
2019-01-02 11:00:00,24853
2019-01-02 12:00:00,24970
2019-01-02 13:00:00,25901
2019-01-02 14:00:00,27923
2019-01-02 15:00:00,30547
2019-01-02 16:00:00,31785
2019-01-02 17:00:00,31326
2019-01-02 18:00:00,30199
2019-01-02 19:00:00,29217
2019-01-02 20:00:00,28293
2019-01-02 21:00:00,27718
2019-01-02 22:00:00,27587
2019-01-02 23:00:00,28163
2019-01-03 00:00:00,29224
2019-01-03 01:00:00,31414
2019-01-03 02:00:00,34464
2019-01-03 03:00:00,35075
2019-01-03 04:00:00,35139
2019-01-03 05:00:00,34707
2019-01-03 06:00:00,33226
2019-01-03 07:00:00,31001
2019-01-03 08:00:00,28892
2019-01-03 09:00:00,27633
2019-01-03 10:00:00,26584
2019-01-03 11:00:00,26100
2019-01-03 12:00:00,26093
2019-01-03 13:00:00,26878
2019-01-03 14:00:00,28562
2019-01-03 15:00:00,31152
2019-01-03 16:00:00,32485
2019-01-03 17:00:00,32045
2019-01-03 18:00:00,31061
2019-01-03 19:00:00,29969
2019-01-03 20:00:00,29044
2019-01-03 21:00:00,28541
2019-01-03 22:00:00,28645
2019-01-03 23:00:00,29004
2019-01-04 00:00:00,29438
2019-01-04 01:00:00,31257
2019-01-04 02:00:00,34366
2019-01-04 03:00:00,34882
2019-01-04 04:00:00,34629
2019-01-04 05:00:00,34009
2019-01-04 06:00:00,32628
2019-01-04 07:00:00,30528
2019-01-04 08:00:00,28434
2019-01-04 09:00:00,27124
2019-01-04 10:00:00,26270
2019-01-04 11:00:00,25790
2019-01-04 12:00:00,25788
2019-01-04 13:00:00,26534
2019-01-04 14:00:00,28250
2019-01-04 15:00:00,30883
2019-01-04 16:00:00,32067
2019-01-04 17:00:00,31821
2019-01-04 18:00:00,31104
2019-01-04 19:00:00,29976
2019-01-04 20:00:00,29101
2019-01-04 21:00:00,28304
2019-01-04 22:00:00,28259
2019-01-04 23:00:00,28602
2019-01-05 00:00:00,29002
2019-01-05 01:00:00,31107
2019-01-05 02:00:00,34015
2019-01-05 03:00:00,34316
