model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_6_20250121_31518,3556.568606093936,12649180.24985296,2604.0831344155945,0.1102215341421067,12649180.24985296
StackedEnsemble_BestOfFamily_1_AutoML_6_20250121_31518,3562.841084404835,12693836.59272302,2604.645399222058,0.110338582979488,12693836.59272302
GBM_4_AutoML_6_20250121_31518,3585.1322586117863,12853173.311738849,2627.9186400117787,0.1111000748632719,12853173.311738849
GBM_3_AutoML_6_20250121_31518,3585.778251629885,12857805.669861874,2633.2740826124104,0.1112508157034838,12857805.669861874
GBM_1_AutoML_6_20250121_31518,3594.2231880255586,12918440.325340608,2637.799778306968,0.1113281224892219,12918440.325340608
GBM_2_AutoML_6_20250121_31518,3599.6317514427656,12957348.745994912,2649.466223218088,0.1117172273298554,12957348.745994912
DRF_1_AutoML_6_20250121_31518,3606.08563123915,13003853.579829464,2630.286422267756,0.111565160553949,13003853.579829464
GBM_5_AutoML_6_20250121_31518,3613.4553928740825,13057059.876290789,2656.1253997585327,0.112074766609167,13057059.876290789
XRT_1_AutoML_6_20250121_31518,3625.506751404266,13144299.204477916,2661.7772811273608,0.1120496122894371,13144299.204477916
GBM_grid_1_AutoML_6_20250121_31518_model_1,3809.700345962729,14513816.726028532,2814.9251341081726,0.1183363890157106,14513816.726028532
DeepLearning_1_AutoML_6_20250121_31518,4485.499071078059,20119701.916642133,3198.441559423647,0.1339700212262018,20119701.916642133
GLM_1_AutoML_6_20250121_31518,5997.6637041157455,35971969.907667406,4451.806578140067,0.1814274136065312,35971969.907667406
