Model,Iteration,Parameters,MAE,MAPE,RMSE,MSE,R²,MBE,Generated_At
GradientBoostingRegressor,1,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",3217.302358122625,0.096833399276156,4249.272645637974,18056318.016967148,0.5440023885197175,205.1269311114856,2025-01-22T18:16:57.181925
Darts Theta,1,"{'Theta Value': 2, 'Seasonality Mode': <SeasonalityMode.MULTIPLICATIVE: 'multiplicative'>}",5563.585236110634,0.1803542048024933,6463.480875672053,41776585.03017837,-0.0550336437175815,3792.678267300098,2025-01-22T18:16:57.913228
Prophet,1,"{'Changepoint Prior Scale': 0.05, 'Seasonality Mode': 'multiplicative'}",3714.847198359732,0.1082249937248854,4944.41613345865,24447250.900806185,0.3826045815347643,-783.1519072454284,2025-01-22T18:17:31.052101
GradientBoostingRegressor,1,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",3217.302358122625,0.096833399276156,4249.272645637974,18056318.016967148,0.5440023885197175,205.1269311114856,2025-01-22T18:23:12.111111
Darts Theta,1,"{'Theta Value': 2, 'Seasonality Mode': <SeasonalityMode.MULTIPLICATIVE: 'multiplicative'>}",5563.585236110634,0.1803542048024933,6463.480875672053,41776585.03017837,-0.0550336437175815,3792.678267300098,2025-01-22T18:23:12.779794
Prophet,1,"{'Changepoint Prior Scale': 0.05, 'Seasonality Mode': 'multiplicative'}",3714.847198359732,0.1082249937248854,4944.41613345865,24447250.900806185,0.3826045815347643,-783.1519072454284,2025-01-22T18:23:45.162919
GradientBoostingRegressor,1,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",3217.302358122625,0.096833399276156,4249.272645637974,18056318.016967148,,205.1269311114856,2025-01-22T18:37:26.221119
Darts Theta,1,"{'Theta Value': 2, 'Seasonality Mode': <SeasonalityMode.MULTIPLICATIVE: 'multiplicative'>}",5563.585236110634,0.1803542048024933,6463.480875672053,41776585.03017837,,3792.678267300098,2025-01-22T18:37:26.868743
Prophet,1,"{'Changepoint Prior Scale': 0.05, 'Seasonality Mode': 'multiplicative'}",3714.847198359732,0.1082249937248854,4944.41613345865,24447250.900806185,,-783.1519072454284,2025-01-22T18:38:00.905726
GradientBoostingRegressor,1,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'squared_error', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",3217.302358122625,0.096833399276156,4249.272645637974,18056318.016967148,,205.1269311114856,2025-01-22T18:41:33.612870
Darts Theta,1,"{'Theta Value': 2, 'Seasonality Mode': <SeasonalityMode.MULTIPLICATIVE: 'multiplicative'>}",5563.585236110634,0.1803542048024933,6463.480875672053,41776585.03017837,,3792.678267300098,2025-01-22T18:41:34.282963
Prophet,1,"{'Changepoint Prior Scale': 0.05, 'Seasonality Mode': 'multiplicative'}",3714.847198359732,0.10822499372488549,4944.41613345865,24447250.900806185,,-783.1519072454284,2025-01-22T18:42:11.521123
